Date,FinalPrice,Change,KL_auction,GT_auction,KL_deal,GT_deal,OpenPrice,MaxPrice,MinPrice
17/04/2020,110.46,1.71 (1.58 %),,"51,306,251","546,631,667,800",0,0,110.61,108.18
16/04/2020,108.75,0.42 (0.38 %),,"37,420,426","394,319,950,200","3,487,340","56,703,258,000",108.76,107.27
15/04/2020,108.33,1.18 (1.10 %),,"48,874,915","559,077,367,900","12,706,490","153,716,259,300",108.90,106.78
14/04/2020,107.15,-0.01 (-0.01 %),,"50,359,789","479,953,991,900","5,774,286","112,751,208,600",107.45,105.66
13/04/2020,107.16,0.98 (0.92 %),,"35,870,256","382,692,933,600","5,795,559","101,813,078,900",108.02,103.10
10/04/2020,106.18,1.10 (1.05 %),,"49,934,956","457,012,487,400","3,319,805","18,393,788,400",107.33,101.58
09/04/2020,105.08,1.15 (1.10 %),,"48,056,753","462,720,698,400","9,260,529","168,328,966,400",107.20,103.65
08/04/2020,103.93,0.51 (0.49 %),,"41,298,353","428,747,562,200","5,002,594","60,107,170,100",106.60,101.59
07/04/2020,103.43,0.17 (0.16 %),,"56,496,300","585,929,006,400","11,710,586","80,001,185,600",104.21,102.02
06/04/2020,103.26,5.41 (5.53 %),,"61,245,860","575,134,623,600","3,011,684","45,631,429,400",103.28,97.86
03/04/2020,97.84,2.23 (2.34 %),,"44,083,771","362,426,444,000","8,842,173","120,379,629,100",98.17,94.81
01/04/2020,95.61,2.98 (3.21 %),,"32,719,748","266,922,238,500","3,783,161","58,833,947,500",95.91,89.70
31/03/2020,92.64,-0.65 (-0.69 %),,"49,587,767","337,212,740,200","1,929,089","29,182,154,500",94.98,91.58
30/03/2020,93.28,-4.07 (-4.18 %),,"39,733,077","358,012,879,900","6,118,742","71,709,895,200",97.30,92.65
27/03/2020,97.35,-0.46 (-0.47 %),,"40,620,562","316,580,401,500","8,766,656","128,798,812,800",98.32,96.39
26/03/2020,97.81,-2.28 (-2.27 %),,"40,990,198","316,633,257,000","8,405,597","74,255,649,500",100.30,97.66
25/03/2020,100.09,3.14 (3.24 %),,"42,916,325","371,036,914,600","5,804,548","59,755,770,100",100.44,96.99
24/03/2020,96.95,0.49 (0.50 %),,"51,432,323","407,266,072,900","15,232,903","210,514,963,300",97.37,95.90
23/03/2020,96.46,-5.33 (-5.24 %),,"64,746,314","652,225,875,000","8,067,231","102,305,175,300",101.52,96.08
20/03/2020,101.79,0.80 (0.79 %),,"50,042,454","391,509,475,700","5,326,127","71,462,211,500",104.69,100.31